CodIPVA,FABRICANTE,CATEGORIA,MODELO/VERSÃO
0204751ON,FIAT,CAMINHONETES/PICAPES,FIAT/DOBLO ANCAR AMB
0204752ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO ANCAR AMB
0204753ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO AMBULANCIA
0204754ON,FIAT,CAMINHONETES/PICAPES,FIAT/DOBLO TRANSFORM AMB
0204755ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO TRANSFORM A
0204756ON,FIAT,CAMINHONETES/PICAPES,FIAT/F GREENCAR AMB M11
0204757ON,FIAT,CAMINHONETES/PICAPES,FIAT/DB NIKS AMBULANCIA
0204758ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO IE JAEDI AM
0204759ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO ATENA AMB
0204760ON,FIAT,CAMINHONETES/PICAPES,FIAT/DOBLO RONTAN AMB2
0204762ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO MARIMAR AMB
0204763ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO SOBERANA
0204766ON,FIAT,CAMINHONETES/PICAPES,FIAT/WILLIAM FIORINO AMB
0204769ON,FIAT,CAMINHONETES/PICAPES,FIAT/DOBLO C SOBERANA AM
0204771ON,FIAT,CAMINHONETES/PICAPES,FIAT/DOBLO 1.8 ATENA AMB
0204772ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/DOBLO CAVENAGHI 100
0204773ON,FIAT,CAMINHONETES/PICAPES,FIAT/DOBLO ALLTECH AMB
0204774ON,FIAT,CAMINHONETES/PICAPES,FIAT/PALIO FIRE REVESCAP
0204776ON,FIAT,CAMINHONETES/PICAPES,FIAT/PALIO NIKS FURGAO
0204777ON,FIAT,CAMINHONETES/PICAPES,FIAT/DOBLO MARIMAR AMB
0204778ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO GCASA AMB1
0204779ON,FIAT,CAMINHONETES/PICAPES,FIAT/DOBLO CARGO 1.4
0204780ON,FIAT,CAMINHONETES/PICAPES,FIAT/DOBLO C ADAPTA AMB
0204781ON,FIAT,CAMINHONETES/PICAPES,FIAT/DOBLO AMBULANCIA
0204782ON,FIAT,CAMINHONETES/PICAPES,FIAT/DOBLO EUROLAF AMB
0204784ON,FIAT,CAMINHONETES/PICAPES,FIAT/DOBLO GCASA AMB1
0204786ON,FIAT,CAMINHONETES/PICAPES,FIAT/DOBLO AUTOMAR AMB
0204787ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO AUTOMAR AMB
0204788ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PALIO VIPK
0204789ON,FIAT,CAMINHONETES/PICAPES,FIAT/UNO FURGAO 1.4 FLEX
0204790ON,FIAT,CAMINHONETES/PICAPES,FIAT/UNO FURGAO 1.0 FLEX
0204792ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO 1.4 FLEX
0204793ON,FIAT,CAMINHONETES/PICAPES,FIAT/DOBLO PICKUPECIA A
0204795ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO1.4 PORTOAMB
0204796ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO HD WK E
0204797ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/PALIO ECOXTEC FUR
0204798ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/UNO ECOXTEC FUR
0204799DN,FIAT,CAMINHONETES/PICAPES,FIAT
0204799OC,FIAT,CAMINHONETES/PICAPES,FIAT
0204799ON,FIAT,CAMINHONETES/PICAPES,FIAT
0204902DN,AGRALE,AUTOMÓVEIS/UTILITÁRIOS,AGRALE/MARRUA 4WD
0204904DN,AGRALE,AUTOMÓVEIS/UTILITÁRIOS,AGRALE/MARRUA CARGO 4WDM
0204905DN,AGRALE,CAMINHONETES/PICAPES,AGRALE/MARRUA CARGO 4WD
0204906DN,AGRALE,CAMINHONETES/PICAPES,AGRALE/MARRUA CARGO LITE
0204907DN,AGRALE,CAMINHONETES/PICAPES,AGRALE/MARRUA AM 100 CC
0204908DN,AGRALE,CAMINHONETES/PICAPES,AGRALE/MARRUA AM 150
0204909DC,AGRALE,CAMINHONETES/PICAPES,AGRALE/MARRUA AM 100 CD
0204911DC,AGRALE,CAMINHONETES/PICAPES,AGRALE/MARRUA AM 150CDCC
0204912DN,AGRALE,CAMINHONETES/PICAPES,AGRALE/MARRUA AM 150 CC
0204914DN,AGRALE,CAMINHONETES/PICAPES,AGRALE/MARRUA AM 100
0205199OC,VOLKSWAGEN,AUTOMÓVEIS/UTILITÁRIOS,VOLKSWAGEN-DEMAIS MODELOS
0205302ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,I/HONDA CRV RVSI
0205303ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,I/HONDA ODYSSEY
0205306ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,I/HONDA CR-V EX
0205307ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,I/HONDA ODYSSEY EX-L
0205308ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,I/HONDA ODYSSEY EX
0205309ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,I/HONDA CR-V EXL
0205310ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,I/HONDA CR-V LX
0205314DN,FORD,CAMINHONETES/PICAPES,I/FORD TRANSIT 350L TA
0205317DN,FORD,CAMINHONETES/PICAPES,I/FORD TRANSIT NIKS AMB1
0205319DN,FORD,CAMINHONETES/PICAPES,I/FORDTRANSIT GREENCAR A
0205320DN,FORD,CAMINHONETES/PICAPES,I/FORD TRANSIT REVES AMB
0205325DN,FORD,CAMINHONETES/PICAPES,I/FORD TRANSIT ENGEVEL A
0205327DN,FORD,CAMINHONETES/PICAPES,I/FORD TRANSIT PFISTE AM
0205328DN,FORD,CAMINHONETES/PICAPES,I/FORD TRANSIT UNIVIDA A
0205332DN,FORD,CAMINHONETES/PICAPES,I/FORD TRANSIT CIRILO AM
0205336DC,FORD,CAMINHONETES/PICAPES,I/FORD TRANSIT AUTOM AMB
0205337DN,FORD,AUTOMÓVEIS/UTILITÁRIOS,I/FORD TRANSIT TCA MIS
0205339DN,FORD,"AUTOMÓVEIS/UTILITÁRIOS, CAMINHONETES/PICAPES",I/FORD TRANSIT TRANSF A
0205341ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,I/HONDA CR-V EXL FLEX4WD
0205342ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,I/HONDA CR-V LX FLEX
0205343ON,HONDA,AUTOMÓVEIS/UTILITÁRIOS,I/HONDA CR-V EXL FLEX
0205501DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER 4X2 SE
0205501DN,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER 4X2 SE
0205502DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER 4X4 XE
0205502DN,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER 4X4 XE
0205503DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER 4X4 SE
0205503DN,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER 4X4 SE
0205504DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER 4X2 XE
0205504DN,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER 4X2 XE
0205505DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER CS4X2 XE
0205505DN,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER CS4X2 XE
0205507DN,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,NISSAN/XTERRA 2.8 SE
0205509DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER
0205510DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER SE 25 X4
0205510DN,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER SE 25 X4
0205511DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER LE 25 X4
0205511DN,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER LE 25 X4
0205512DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER XE 25 X2
0205513DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER XE 25 X4
0205514DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER SE 25 X2
0205515DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER XE 4X2
0205516DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER SE4X2ATT
0205518DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER LE 4X4
0205519DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER LE4X4ATT
0205520DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER XE 4X4
0205520DN,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER XE 4X4
0205521DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER SE4X4ATT
0205521DN,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER SE4X4ATT
0205526DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER S 4X4
0205526DN,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER S 4X4
0205528DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER SL 4X4
0205528DN,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER SL 4X4
0205530DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER SVATK4X4
0205532DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER PLAT 4X4
0205533DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER S 4X2
0205536DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER SVATK4X2
0205541ON,INFINITI,AUTOMÓVEIS/UTILITÁRIOS,I/INFINITI JX 35 AWD
0205543ON,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN PATHFINDER SV
0205548DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER SVATK4XA
0205552DN,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,NISSAN/XTERRA SE
0205553DC,NISSAN,CAMINHONETES/PICAPES,I/NISSAN FRONTIER XE X4
0205554DC,NISSAN,CAMINHONETES/PICAPES,I/NISSAN FRONTIER SE X4
0205702DC,CHEVROLET,CAMINHONETES/PICAPES,GM/BRASINCA ANDALUZ
0205702DN,CHEVROLET,CAMINHONETES/PICAPES,GM/BRASINCA ANDALUZ
0205702OC,CHEVROLET,CAMINHONETES/PICAPES,GM/BRASINCA ANDALUZ
0205704DC,CHEVROLET,CAMINHONETES/PICAPES,GM/BRASINCA MANGALARGA
0205704DN,CHEVROLET,CAMINHONETES/PICAPES,GM/BRASINCA MANGALARGA
0205704ON,CHEVROLET,CAMINHONETES/PICAPES,GM/BRASINCA MANGALARGA
0205705DC,CHEVROLET,CAMINHONETES/PICAPES,GM/BRASINCA MARCHADOR
0205705ON,CHEVROLET,CAMINHONETES/PICAPES,GM/BRASINCA MARCHADOR
0205802DC,CHEVROLET,CAMINHONETES/PICAPES,GM/SPOCAR SERRANO
0205802DN,CHEVROLET,CAMINHONETES/PICAPES,GM/SPOCAR SERRANO
0205901DC,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/VERANEIO CUSTOM LUXE
0205901DN,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/VERANEIO CUSTOM LUXE
0205901ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/VERANEIO CUSTOM LUXE
0205902DC,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/VERANEIO CUSTOM S
0205902DN,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/VERANEIO CUSTOM S
0205902OC,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/VERANEIO CUSTOM S
0205902ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/VERANEIO CUSTOM S
0205904DC,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/VERANEIO
0205904DN,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/VERANEIO
0205904OC,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/VERANEIO
0205904ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/VERANEIO
0206001DC,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/BONANZA CUST.DE LUXE
0206001DN,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/BONANZA CUST.DE LUXE
0206001OC,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/BONANZA CUST.DE LUXE
0206001ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/BONANZA CUST.DE LUXE
0206002DN,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/BONANZA CUSTOM S
0206002OC,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/BONANZA CUSTOM S
0206002ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/BONANZA CUSTOM S
0206200DN,TAC,AUTOMÓVEIS/UTILITÁRIOS,TAC/STARK 4WD
0206301OC,FORD,CAMINHONETES/PICAPES,FORD/ENGERAUTO TOPAZIO
0206301ON,FORD,CAMINHONETES/PICAPES,FORD/ENGERAUTO TOPAZIO
0206302DC,FORD,CAMINHONETES/PICAPES,FORD/ENGERAUTO DUO
0206302DN,FORD,CAMINHONETES/PICAPES,FORD/ENGERAUTO DUO
0206302OC,FORD,CAMINHONETES/PICAPES,FORD/ENGERAUTO DUO
0206302ON,FORD,CAMINHONETES/PICAPES,FORD/ENGERAUTO DUO
0206305OC,FORD,CAMINHONETES/PICAPES,FORD/ENGERAUTO PAMPA BOX
0206305ON,FORD,CAMINHONETES/PICAPES,FORD/ENGERAUTO PAMPA BOX
0206306ON,FORD,CAMINHONETES/PICAPES,FORD/ENGERAUTO SPARTAKUS
0206801DC,FORD,CAMINHONETES/PICAPES,FORD/ENGERAUTO MAGNUN I
0206801DN,FORD,CAMINHONETES/PICAPES,FORD/ENGERAUTO MAGNUN I
0206801OC,FORD,CAMINHONETES/PICAPES,FORD/ENGERAUTO MAGNUN I
0206802DC,FORD,CAMINHONETES/PICAPES,FORD/ENGERAUTO MAGNUN II
0206802DN,FORD,CAMINHONETES/PICAPES,FORD/ENGERAUTO MAGNUN II
0206903DC,FORD,CAMINHONETES/PICAPES,FORD/SR DESERTER
0206903DN,FORD,CAMINHONETES/PICAPES,FORD/SR DESERTER
0206903OC,FORD,CAMINHONETES/PICAPES,FORD/SR DESERTER
0206907DC,FORD,CAMINHONETES/PICAPES,FORD/SR COUNTRY
0206907DN,FORD,CAMINHONETES/PICAPES,FORD/SR COUNTRY
0206909DC,FORD,CAMINHONETES/PICAPES,FORD/SR DESERTER XK
0206909DN,FORD,CAMINHONETES/PICAPES,FORD/SR DESERTER XK
0207004DC,FORD,CAMINHONETES/PICAPES,FORD/SULAMERICANA MONACO
0207103DC,FORD,CAMINHONETES/PICAPES,FORD/DEMEC FIRENZE
0207103DN,FORD,CAMINHONETES/PICAPES,FORD/DEMEC FIRENZE
0207110DC,FORD,CAMINHONETES/PICAPES,FORD/DEMEC CAPITAL
0207111DC,FORD,CAMINHONETES/PICAPES,FORD/DEMEC ELIVEL
0207201DC,CHEVROLET,CAMINHONETES/PICAPES,GM/ENVEMO SAN FRANC.CD
0207201DN,CHEVROLET,CAMINHONETES/PICAPES,GM/ENVEMO SAN FRANC.CD
0207203DC,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/ENVEMO SAN FRANC.M
0207203DN,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/ENVEMO SAN FRANC.M
0207203ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/ENVEMO SAN FRANC.M
0207206ON,CHEVROLET,CAMINHONETES/PICAPES,GM/ENVEMO C20 VLR
0207207ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,GM/EVM REGATE 20
0207210DN,CHEVROLET,CAMINHONETES/PICAPES,GM/EVM VERANEIO AMB
0207210ON,CHEVROLET,CAMINHONETES/PICAPES,GM/EVM VERANEIO AMB
0207501DC,FORD,CAMINHONETES/PICAPES,FORD/F 1000 SIDCAR OREGON
0207501DN,FORD,CAMINHONETES/PICAPES,FORD/F 1000 SIDCAR OREGON
0207503DC,FORD,CAMINHONETES/PICAPES,FORD/F 1000 SIDCAR DALLAS
0207503DN,FORD,CAMINHONETES/PICAPES,FORD/F 1000 SIDCAR DALLAS
0207601DC,CHEVROLET,CAMINHONETES/PICAPES,GM/D 20 SIDCAR INDIANA
0207601DN,CHEVROLET,CAMINHONETES/PICAPES,GM/D 20 SIDCAR INDIANA
0207702DN,FOTON,CAMINHONETES/PICAPES,I/FOTON AUMARK 1039
0207704DN,FOTON,CAMINHONETES/PICAPES,I/FOTON AUMARK 1039 SCD
0207705DN,FOTON,CAMINHONETES/PICAPES,I/FOTON AUMARK 1039 SCS
0207708DN,FOTON,CAMINHONETES/PICAPES,I/FOTON AUMARK 1039 SCDL
0207711ON,FOTON,CAMINHONETES/PICAPES,I/FOTON MINI-TRUCK
0207712ON,FOTON,AUTOMÓVEIS/UTILITÁRIOS,I/FOTON MPX
0207715DN,FOTON,CAMINHONETES/PICAPES,I/FOTON 1039 3110B I26SS
0207716DN,FOTON,CAMINHONETES/PICAPES,I/FOTON 1039 3110B I26DS
0207717DN,FOTON,CAMINHONETES/PICAPES,I/FOTON 1039 3130B I33SS
0207720DC,FOTON,CAMINHONETES/PICAPES,I/FOTON TUNLAND DC
0207721DN,FOTON,CAMINHONETES/PICAPES,I/FOTON 1039 3110B I33DS
0207724DN,FOTON,AUTOMÓVEIS/UTILITÁRIOS,FOTON/AUMARK 3.5-14DT
0207724ON,FOTON,AUTOMÓVEIS/UTILITÁRIOS,FOTON/AUMARK 3.5-14DT
0207810DC,CHEVROLET,CAMINHONETES/PICAPES,GM/C20 SULAM TOPEKA
0207810DN,CHEVROLET,CAMINHONETES/PICAPES,GM/C20 SULAM TOPEKA
0207810OC,CHEVROLET,CAMINHONETES/PICAPES,GM/C20 SULAM TOPEKA
0207810ON,CHEVROLET,CAMINHONETES/PICAPES,GM/C20 SULAM TOPEKA
0207904DN,FORD,CAMINHONETES/PICAPES,FORD/F1000 SULAM DAKOTA
0208402ON,VOLKSWAGEN,CAMINHONETES/PICAPES,VW/NOVA SAVEIRO TOM FUNE
0208403ON,VOLKSWAGEN,CAMINHONETES/PICAPES,VW/NOVA SAVEIRO PLANCARF
0208404OC,VOLKSWAGEN,CAMINHONETES/PICAPES,VW/NOVA SAVEIRO RB MBVD
0208405OC,VOLKSWAGEN,CAMINHONETES/PICAPES,VW/NOVA SAVEIRO PP MBVD
0208406OC,VOLKSWAGEN,CAMINHONETES/PICAPES,VW/NOVA SAVEIRO PP MBVE
0208407ON,VOLKSWAGEN,CAMINHONETES/PICAPES,VW/NOVA SAVEIRO PLANC F1
0208409ON,VOLKSWAGEN,CAMINHONETES/PICAPES,VW/SAVEIRO MAIA AMB
0208410ON,FIAT,CAMINHONETES/PICAPES,FIAT/STRADA RAYTEC AMB
0208412ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO ROCHA AMB
0208413ON,FIAT,AUTOMÓVEIS/UTILITÁRIOS,FIAT/FIORINO ENDURANCE
0208414ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO VRIO AMB
0208415ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO UNITR AMB1
0208416ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO GREEN AMB
0208417ON,FIAT,CAMINHONETES/PICAPES,FIAT/FIORINO END ROCHA A
0208602DC,CHEVROLET,CAMINHONETES/PICAPES,GM/D 20 WALK PHANTER
0209401DC,CHEVROLET,CAMINHONETES/PICAPES,GM/AUTO ARTE COLUMBA
0209401DN,CHEVROLET,CAMINHONETES/PICAPES,GM/AUTO ARTE COLUMBA
0209401OC,CHEVROLET,CAMINHONETES/PICAPES,GM/AUTO ARTE COLUMBA
0209403DN,CHEVROLET,CAMINHONETES/PICAPES,GM/AUTO ARTE CRUSIER
0209501DC,FORD,CAMINHONETES/PICAPES,FORD/AUTO ARTE PHOENIX
0209801DC,FORD,CAMINHONETES/PICAPES,FORD/MOTORFIELD MIDI MAX
0210601DC,CHEVROLET,CAMINHONETES/PICAPES,GM/D20 WEL SPORT I
0210601DN,CHEVROLET,CAMINHONETES/PICAPES,GM/D20 WEL SPORT I
0210603ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,I/GM CAPTIVA SPORT AWD
0210604ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,I/GM CAPTIVA SPORT FWD
0210605ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,I/GM CAPTIVA SPORT V6FWD
0210606ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,I/GM CAPTIVA SPORT 2.4
0210607ON,CHEVROLET,AUTOMÓVEIS/UTILITÁRIOS,I/GM CAPTIVA SPORT V6AWD
0211101OC,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,"IMP/NISSAN PATHFINDER, NISSAN-DEMAIS MODELOS"
0211102DC,NISSAN,CAMINHONETES/PICAPES,I/NISSAN D21 DC 4X2
0211102DN,NISSAN,CAMINHONETES/PICAPES,I/NISSAN D21 DC 4X2
0211103DC,NISSAN,CAMINHONETES/PICAPES,IMP/NISSAN D21 KC 4X2
0211103DN,NISSAN,CAMINHONETES/PICAPES,IMP/NISSAN D21 KC 4X2
0211103ON,NISSAN,CAMINHONETES/PICAPES,IMP/NISSAN D21 KC 4X2
0211104DN,NISSAN,CAMINHONETES/PICAPES,IMP/NISSAN D21 SC 4X2
0211105DC,NISSAN,CAMINHONETES/PICAPES,I/NISSAN D21 DC 4X4
0211105DN,NISSAN,CAMINHONETES/PICAPES,I/NISSAN D21 DC 4X4
0211106DC,NISSAN,CAMINHONETES/PICAPES,IMP/NISSAN D21 SC 4X4
0211106DN,NISSAN,CAMINHONETES/PICAPES,IMP/NISSAN D21 SC 4X4
0211107DN,NISSAN,CAMINHONETES/PICAPES,IMP/NISSAN KINGCAB SE V6
0211107ON,NISSAN,CAMINHONETES/PICAPES,IMP/NISSAN KINGCAB SE V6
0211108DC,NISSAN,CAMINHONETES/PICAPES,IMP/NISSAN D22 CD 4X4
0211108DN,NISSAN,CAMINHONETES/PICAPES,IMP/NISSAN D22 CD 4X4
0211109DC,NISSAN,CAMINHONETES/PICAPES,I/NISSAN FRONTIER D22
0211110DC,NISSAN,CAMINHONETES/PICAPES,I/NISSAN FRONTIER TI
0211110DN,NISSAN,CAMINHONETES/PICAPES,I/NISSAN FRONTIER TI
0211111DN,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN PATHFINDER SE
0211111ON,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN PATHFINDER SE
0211113DN,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN PATHFINDER LE
0211113ON,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN PATHFINDER LE
0211118ON,INFINITI,AUTOMÓVEIS/UTILITÁRIOS,I/INFINITI FX 45 AWD
0211120ON,INFINITI,AUTOMÓVEIS/UTILITÁRIOS,I/INFINITI FX 35 AWD
0211123OC,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN XTRAIL GX
0211123ON,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN XTRAIL GX
0211126DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER SESTRIKE
0211128ON,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN PATHFINDER LE40
0211129DN,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN PATHFINDER LE25
0211132ON,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN PATHFINDER SE40
0211133DN,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN PATHFINDER SE25
0211137ON,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN MURANO SE
0211139DC,NISSAN,CAMINHONETES/PICAPES,I/NISSAN FRONTIER LE
0211146DC,NISSAN,CAMINHONETES/PICAPES,I/NISSAN FRONTIER SEL
0211146DN,NISSAN,CAMINHONETES/PICAPES,I/NISSAN FRONTIER SEL
0211150ON,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN MURANO LE
0211152ON,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN X-TRAIL LE
0211154ON,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN MURANO LE AWD
0211156ON,INFINITI,AUTOMÓVEIS/UTILITÁRIOS,I/INFINITI EX35 AWD JOUR
0211158ON,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN X-TRAIL SE
0211159ON,INFINITI,AUTOMÓVEIS/UTILITÁRIOS,I/INFINITI FX 50 AWD
0211166ON,INFINITI,AUTOMÓVEIS/UTILITÁRIOS,I/INFINITI FX35 RWD
0211169DN,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN PATROL 4X4
0211184DC,NISSAN,CAMINHONETES/PICAPES,I/NISSAN FRONTIER LE 4X4
0211194DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER SEATT4X4
0211195DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER SEATT4X2
0211196DC,NISSAN,CAMINHONETES/PICAPES,NISSAN/FRONTIER LEATT4X4
0211198DN,NISSAN,AUTOMÓVEIS/UTILITÁRIOS,I/NISSAN TERRANO 4X4
0211199DC,NISSAN,CAMINHONETES/PICAPES,IMP/NISSAN
0211199DN,NISSAN,CAMINHONETES/PICAPES,IMP/NISSAN
0211199ON,NISSAN,CAMINHONETES/PICAPES,IMP/NISSAN
0211530ON,CHERY,AUTOMÓVEIS/UTILITÁRIOS,CHERY/TIGGO 2 1.5 LOOK
0211533ON,CHERY,AUTOMÓVEIS/UTILITÁRIOS,CHERY/TIGGO 2 1.5 SMILE
0211535ON,CHERY,AUTOMÓVEIS/UTILITÁRIOS,CHERY/TIGGO 2 1.5 ACT
0211537ON,CHERY,AUTOMÓVEIS/UTILITÁRIOS,CAOACHERY/TIGGO 5X TXS
0211538ON,CHERY,AUTOMÓVEIS/UTILITÁRIOS,CAOACHERY/TIGGO 5X T
0211539ON,CHERY,AUTOMÓVEIS/UTILITÁRIOS,CAOACHERY/TIGGO7 T
0211540ON,CHERY,AUTOMÓVEIS/UTILITÁRIOS,CAOACHERY/TIGGO7 TXS
0211541ON,CHERY,AUTOMÓVEIS/UTILITÁRIOS,CAOACHERY/TIGGO8 1.6TGDI
0211701DC,MITSUBISHI,CAMINHONETES/PICAPES,I/MMC L200 4X4
0211701DN,MITSUBISHI,CAMINHONETES/PICAPES,I/MMC L200 4X4
0211701ON,MITSUBISHI,CAMINHONETES/PICAPES,I/MMC L200 4X4
0211702DN,MITSUBISHI,CAMINHONETES/PICAPES,MITSUBISHI-DEMAIS MODELOS
0211703OC,MITSUBISHI,AUTOMÓVEIS/UTILITÁRIOS,I/MMC PAJERO SPORT GLS
0211703ON,MITSUBISHI,AUTOMÓVEIS/UTILITÁRIOS,I/MMC PAJERO SPORT GLS
