CodIPVA,FABRICANTE,CATEGORIA,MODELO/VERSÃO
0000549ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,H-D/FLTRXS ANV
0000550ON,BMW,MOTOCICLETAS/SIMILARES,I/BMW R 18 PURE 100 ANOS
0000551ON,HARLEY DAVIDSON,MOTOCICLETAS/SIMILARES,H-D/FLHCS ANV
0000553ON,SHENGQI,MOTOCICLETAS/SIMILARES,I/SHENGQI X7 HW
0000555ON,LVNENG,MOTOCICLETAS/SIMILARES,I/LVNENG VENTANE WIND
0000561ON,GCX,MOTOCICLETAS/SIMILARES,I/GCX S8 3KW
0000571ON,HK,MOTOCICLETAS/SIMILARES,I/HK AP-I7
0000574ON,ROTOM,MOTOCICLETAS/SIMILARES,I/ROTOM GYD W125
0000575ON,MANGOSTEEN,MOTOCICLETAS/SIMILARES,I/MANGOSTEEN SLS M1
0000580ON,PIAGGIO,MOTOCICLETAS/SIMILARES,I/PIAGGIO APE XTRA 300CC
0000581ON,HUAIHAI,MOTOCICLETAS/SIMILARES,I/HUAIHAI SPEED 1
0000586ON,BASHI,MOTOCICLETAS/SIMILARES,I/BASHI BLACK HAWK 5000W
0000588ON,JTZ,MOTOCICLETAS/SIMILARES,JTZ/ZONTES T310
0000589ON,JTZ,MOTOCICLETAS/SIMILARES,JTZ/ZONTES R310
0000597ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 900 GT AE
0000598ON,TRIUMPH,MOTOCICLETAS/SIMILARES,TRIUMPH/TIGER 900 RA AE
0000603ON,JTZ,MOTOCICLETAS/SIMILARES,JTZ/ZONTES V310
0000605ON,MS,MOTOCICLETAS/SIMILARES,I/MS HOLIDAY 3K
0000608ON,SHENGQI,MOTOCICLETAS/SIMILARES,I/SHENGQI CP-7
0000610ON,SHANSU,MOTOCICLETAS/SIMILARES,I/SHANSU CP-1
0000611ON,SUZUKI,MOTOCICLETAS/SIMILARES,SUZUKI - DEMAIS MODELOS ATÉ 150CC
0000612ON,BASHI,MOTOCICLETAS/SIMILARES,I/BASHI FANT ONE 5000W
0000630ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/XRE 300 SAHARA RAL
0000631ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/XRE 300 SAHARA ADV
0000638ON,HONDA,MOTOCICLETAS/SIMILARES,HONDA/XRE 300 SAHARA
0000640ON,AIPAO,MOTOCICLETAS/SIMILARES,I/AIPAO X-7
0000644ON,HONDA,MOTOCICLETAS/SIMILARES,I/HONDA GL1800GOLDWING T
0000646ON,MANGOSTEEN,MOTOCICLETAS/SIMILARES,I/MANGOSTEEN M2
0000649ON,AIPAO,MOTOCICLETAS/SIMILARES,I/AIPAO AP-I7
0000668ON,SHANSU,MOTOCICLETAS/SIMILARES,I/SHANSU TX 1
